142207 2016.15 2710.84 18.965  2.238 16.726  20   0 0.024  414   1 0.013
142208 1809.88 2720.56 18.941  1.957 16.985  19   1 0.025  417   0 0.015
142209 1979.90 2736.28 18.848  2.410 16.438  21   0 0.018  415   1 0.014
142211 1808.85 2741.40 19.327  2.721 16.606  21   0 0.035  417   0 0.012
142212 1843.01 2741.07 18.903  2.466 16.438  20   0 0.014  415   2 0.010
142213 2090.23 2747.04 18.871  2.273 16.598  21   0 0.029  408   1 0.011
142214 1838.60 2753.20 18.933  2.555 16.379  21   0 0.026  414   3 0.010
142216 2121.57 2767.08 19.682  2.649 17.032  20   0 0.048  399   1 0.017
142217 1977.16 2775.00 18.950  1.827 17.123  21   0 0.017  415   1 0.017
142218 2000.51 2774.47 19.407  2.404 17.003  20   0 0.029  413   2 0.016
142219 1826.00 2776.60 18.452  1.834 16.618  21   0 0.017  417   0 0.012
142220 2192.08 2777.81 18.570  2.030 16.541  20   0 0.026  339   1 0.020
142221 2099.29 2783.96 18.799  2.468 16.331  21   0 0.027  407   0 0.011
142223 2122.45 2793.37 18.544  1.786 16.758  21   0 0.019  397   3 0.014
142227 1821.15 2339.06 19.649  2.217 17.432  21   0 0.294  416   0 0.099
142228 2014.03 2382.30 20.224  2.058 18.166  20   0 0.073  413   1 0.043
142229 2083.77 2421.86 20.239  2.347 17.892  20   0 0.089  409   0 0.034
142230 2129.10 2458.77 20.850  2.489 18.360  20   0 0.135  398   0 0.057
142232 2188.53 2585.42 99.999  9.999 18.437   0   0 9.999  347   0 0.059
142281 1892.26 2336.11 20.124  2.309 17.815  21   0 0.101  416   0 0.032
142283 2199.54 2342.32 19.529  1.881 17.649  17   0 0.041  326   1 0.030
142284 2141.82 2345.76 20.047  2.209 17.838  19   1 0.050  394   1 0.030
142285 1995.35 2349.16 19.460  2.102 17.358  20   0 0.029  414   1 0.021
142286 2113.12 2349.40 19.747  2.359 17.388  20   0 0.063  404   0 0.025
142287 2104.90 2351.96 19.664  2.300 17.364  22   0 0.077  407   0 0.044
142289 1895.18 2353.68 20.503  2.578 17.925  21   0 0.104  416   1 0.054
142290 1915.31 2355.01 19.726  2.514 17.212  21   0 0.040  416   1 0.019
142291 1972.05 2354.23 20.307  2.250 18.058  19   1 0.081  413   3 0.042
142292 2008.44 2357.83 19.473  2.286 17.187  20   0 0.049  415   0 0.018
142293 1963.35 2356.96 20.216  2.280 17.936  19   1 0.064  414   2 0.043
142295 1926.29 2365.11 19.821  2.015 17.807  20   0 0.046  416   0 0.030
142297 1932.80 2365.98 19.724  1.945 17.779  20   0 0.051  416   0 0.027
142298 1957.31 2370.24 19.270  2.172 17.098  22   0 0.058  414   2 0.033
142300 2132.91 2373.23 19.315  1.885 17.430  21   0 0.061  397   0 0.028
142301 2148.66 2374.10 19.295  1.943 17.352  20   0 0.024  391   1 0.021
142302 1771.66 2374.21 20.334  2.423 17.911  21   0 0.103  413   2 0.030
142304 1927.82 2376.16 19.788  2.343 17.445  20   0 0.061  416   1 0.022
142306 1882.43 2380.03 19.738  2.350 17.388  21   0 0.064  415   1 0.021
142307 2084.84 2381.56 20.064  2.300 17.764  20   0 0.057  407   1 0.030
142308 1941.97 2385.48 20.379  2.477 17.902  20   0 0.076  415   0 0.030
142309 1930.32 2386.97 19.501  2.284 17.217  20   0 0.043  417   0 0.019
142311 1862.06 2388.82 19.687  2.399 17.288  21   0 0.049  417   0 0.021
142312 2199.05 2392.41 19.469  1.941 17.529  17   0 0.028  326   1 0.037
142313 1921.90 2393.97 20.149  2.576 17.573  19   1 0.049  416   0 0.027
142314 2186.57 2400.37 20.280  1.602 18.678  19   0 0.107  346   4 0.097
142316 1791.94 2399.94 19.546  1.886 17.660  20   0 0.035  415   1 0.025
142318 2005.24 2403.97 20.633  2.953 17.681  22   0 0.207  414   0 0.117
142319 2038.58 2406.62 19.954  2.589 17.365  20   0 0.063  413   1 0.019
142320 2112.21 2405.84 19.845  2.538 17.307  21   0 0.077  403   1 0.022
142321 1924.21 2410.54 19.970  2.286 17.684  20   0 0.067  415   1 0.027
